frame_idx,nombre_archivo,mae_hud,mae_termico,sobel_energia,var_lap_sin_hud,var_lap_denoised,sigma_orig,sigma_sin_hud,sigma_denoised
273,frame_65284.png,6.3305,9.5546,74.536,1616.41,345.78,16.3084,14.8258,11.8606
274,frame_65285.png,6.316,9.2651,74.506,1620.25,313.63,16.3084,14.8258,10.3781
275,frame_65286.png,5.5056,8.0099,62.175,1087.79,325.26,10.3781,10.3781,10.3781
276,frame_65287.png,5.8975,8.5801,68.46,1281.52,326.2,14.8258,13.3432,10.3781
277,frame_65288.png,5.8603,8.4922,68.084,1288.01,326.77,14.8258,13.3432,10.3781
278,frame_65289.png,6.6302,9.4663,78.414,1798.06,318.71,20.7561,17.791,10.3781
279,frame_65290.png,6.3718,9.6192,77.004,1719.96,322.26,17.791,16.3084,10.3781
280,frame_65291.png,6.3023,9.161,74.072,1605.67,319.73,16.3084,14.8258,10.3781
281,frame_65292.png,5.5722,7.9851,62.157,1102.89,328.14,10.3781,10.3781,10.3781
282,frame_65293.png,5.9704,8.6106,68.81,1294.06,331.17,14.8258,13.3432,10.3781
